Year,Gasoline All Grades,Diesel,,,,,,,,,
2023,4.879,5.357,,,,,,,,,
2022,5.406,6.028,,,,,,,,,
2021,4.1,4.164,,,,,,,,,
2020,3.132,3.377,,,,,,,,,
2019,3.677,3.92,,,,,,,,,
2018,3.551,3.874,,,,,,,,,
2017,3.08,3.067,,,,,,,,,
2016,2.782,2.654,,,,,,,,,
2015,3.221,3.015,,,,,,,,,
2014,3.794,4.004,,,,,,,,,
2013,3.933,4.126,,,,,,,,,
2012,4.081,4.23,,,,,,,,,
2011,3.863,,,,,,,,,,
2010,3.138,3.157,,,,,,,,,
2009,2.725,2.607,,,,,,,,,
2008,3.561,3.925,,,,,,,,,
2007,3.124,3.094,,,,,,,,,
2006,2.855,2.922,,,,,,,,,
2005,2.517,2.608,,,,,,,,,
2004,2.166,2.099,,,,,,,,,
2003,1.878,1.657,,,,,,,,,
2002,1.561,1.45,,,,,,,,,
2001,1.677,1.543,,,,,,,,,
2000,1.768,1.672,,,,,,,,,